"Numéro";"N° Etiquette";"Commune de Prélèvement";"GIC";"Mode Prélt";"Nom";"Date de Mort";"MOIS";"Saison";"saison reprod";"Poids";"Sexe";"Prvt Utérus";"Femelle Allaitante";"Foetus (DSV)";"Femelle non repro";"Phase pré-implan-tatoire";"Nbre d'Emb";"Nbre de res";"Nbre de Cicat Année n";"Nbre de cic de res ou de n-1";"Prvt Dent";"Agedents";"Remarques";"reprod";"nbrepro";"Age"
101;"161";"10438";"B";"P";"MARTINOT";1/1/2006 00:00:00;1;1.00;1;5.00;"F";"N";"N";;;;;;;;"O";0.00;;;;0
102;"101";"10205";"B";"P";"BATKOWSKI";3/1/2006 00:00:00;1;1.00;1;5.50;"F";"N";"N";;;;;;;;"O";0.00;;;;0
103;"170";"10310";"B";"P";"GOBIN";3/1/2006 00:00:00;1;1.00;1;7.00;"F";"N";"N";;;;;;;;"O";1.00;;;;1
104;"210";"10055";"B";"P";"RIVIERE";3/1/2006 00:00:00;1;1.00;0;7.19;"F";"O";"N";;;;;;"2";;"O";1.00;;"CP";2;1
105;"209";"10069";"B";"P";"PICART";4/1/2006 00:00:00;1;1.00;1;5.30;"F";"N";"N";;;;;;;;"O";4.00;;;;4
106;"49";"10401";"B";"P";"GERARD";5/1/2006 00:00:00;1;1.00;1;5.69;"F";"N";"N";;;;;;;;"O";3.00;;;;3
107;"186";"10055";"B";"P";"DEMETS";5/1/2006 00:00:00;1;1.00;1;6.40;"M";;;;;;;;;;"N";;;;;
108;"187";"10045";"B";"P";"CARRIC";5/1/2006 00:00:00;1;1.00;1;6.90;"M";;;;;;;;;;"O";1.00;;;;1
109;"164";"10331";"S";"P";"JOUOT";6/1/2006 00:00:00;1;1.00;1;6.19;"M";;;;;;;;;;"N";;;;;
110;"169";"10331";"S";"P";"JOUOT";6/1/2006 00:00:00;1;1.00;1;6.19;"M";;;;;;;;;;"N";;;;;
111;"197";"10310";"B";"P";"GOBIN";6/1/2006 00:00:00;1;1.00;1;6.59;"F";"N";"N";;;;;;;;"O";0.00;;;;0
112;"104";"10205";"B";"C";"RICHARD";7/1/2006 00:00:00;1;1.00;1;5.19;"M";;;;;;;;;;"O";0.00;;;;0
113;"201";"10069";"B";"P";"PICART";7/1/2006 00:00:00;1;1.00;1;4.69;"F";"N";"N";;;;;;;;"N";;;;;
114;"199";"10055";"B";"C";"RIVIERE";8/1/2006 00:00:00;1;1.00;1;6.50;"M";;;;;;;;;;"O";0.00;;;;0
